Name,RA,DEC,Vmag,Sp.Type,dist (pc),ObsDate
"SO0253","2 53 4.73 ","16 51 51 ","15.1","M6.5V","3.85",""
"HIP13601","2 55 17.6 ","16 18 32 ","7.41","G5","26.1","03/29/2016"
"HIP13642","2 55 39.3 ","26 52 20 ","7.52","K2","22.8",""
"HIP13665","2 55 57.2 ","61 31 16 ","5.59","F4V","26.4","05/28/2016"
"HIP13701","2 56 25.7 ","-8 53 56 ","3.89","K1III-IV","40.8",""
"HIP13702","2 56 26.4 ","18 1 19 ","5.58","F6V","35.4",""
"HIP13834","2 58 5.49 ","20 40 6 ","5.80","F5IV","31.8",""
"HIP13891","2 58 52.4 ","26 46 28 ","8.21","K2V","28.5",""
"HIP13976","3 0 3.17 ","7 44 59 ","7.97","G5","23.4","02/18/2016"
"HIP14150","3 2 26.3 ","26 36 30 ","6.62","G8V","21.1",""
"HIP14165","3 2 38.5 ","-18 9 56 ","11.7","","20.9",""
"HIP14286","3 4 11.2 ","61 42 9 ","6.64","G4V","22.8","02/07/2016"
"HIP14293","3 4 16.5 ","-7 36 2 ","5.26","A8V","43.0","05/15/2016"
"HIP14445","3 6 27.1 ","1 57 39 ","9.07","M0V","14.7","02/18/2016"
"HIP14478","3 6 50.8 ","40 21 30 ","9.66","K6","27.2",""
"HIP14576","3 8 10.1 ","40 57 20 ","2.09","B8V","28.4",""
"HIP14633","3 9 5.33 ","76 2 20 ","9.82","M0","21.3","02/07/2016"
"HIP14632","3 9 6.11 ","49 36 46 ","4.05","G0V","10.5","05/28/2016"
"HIP14668","3 9 30.0 ","44 51 24 ","3.79","K0III","34.4",""
"HIP14669","3 9 30.1 ","45 43 51 ","10.1","M2","15.4","05/28/2016"
"HIP14731","3 10 15.3 ","5 54 22 ","11.8","M4V:","17.3",""
"HIP14729","3 10 15.4 ","12 2 59 ","9.38","K5","27.0","02/18/2016"
"HIP14862","3 11 56.3 ","74 23 35 ","4.85","A2Vnn","49.6","05/28/2016"
"HIP14954","3 12 46.6 ","-1 11 47 ","5.07","F8V","22.3","02/18/2016"
"HIP15099","3 14 47.6 ","8 58 44 ","7.83","K0","22.2",""
"HIP15197","3 15 50.0 ","-8 49 10 ","4.80","A5m","36.7","02/19/2016"
"HIP15220","3 16 14.6 ","58 9 57 ","10.5","M2","13.4","05/28/2016"
"HIP15244","3 16 35.7 ","-9 9 16 ","6.14","F1V","34.6",""
"HIP15323","3 17 39.9 ","31 7 36 ","6.40","G0","27.1",""
"HIP15366","3 18 8.08 ","38 14 58 ","10.2","M1","17.3",""
"HIP15411","3 18 41.2 ","-18 33 36 ","5.72","F3V","36.5","03/26/2016"
"HIP15442","3 19 2.16 ","-2 50 37 ","7.05","G0","24.6",""
"HIP15457","3 19 21.9 ","3 22 14 ","4.84","G5Vvar","9.15",""
"HIP15563","3 20 29.4 ","8 27 16 ","9.65","K7V:","29.2",""
"HIP15638","3 21 24.3 ","79 58 6 ","11.2","M2:","13.7",""
"HIP15648","3 21 26.4 ","43 19 46 ","4.96","A3V","47.6",""
"HIP15673","3 21 54.2 ","52 19 49 ","9.05","K5","22.7",""
"HIP15797","3 23 33.6 ","43 57 20 ","8.98","K2","25.5",""
"HIP15919","3 24 59.4 ","-5 22 1 ","7.86","K5V","15.1","03/05/2016"
"HIP16134","3 27 53.0 ","-19 48 11 ","8.39","K5V","12.6","03/05/2016"
"HIP16209","3 28 54.6 ","37 22 39 ","11.1","K4:","25.5",""
